Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,FE def,Feed - DEF,lab344,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C1,CONTROL 1,lab344,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,FL def,Flat - DEF,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,A def,Acid - DEF,lab344,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,B def,Bitter - DEF,lab344,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,R def,Rancid - DEF,lab344,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C2,CONTROL 2,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C3,CONTROL 3,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C4,CONTROL 4,lab344,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,FE def,Feed - DEF,rc687,,,,,3,,,,,,,,,,,,,,6,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C1,CONTROL 1,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,FL def,Flat - DEF,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,A def,Acid - DEF,rc687,3,,,,,,,,,,,,,,,,,,0,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,B def,Bitter - DEF,rc687,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,R def,Rancid - DEF,rc687,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C2,CONTROL 2,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C3,CONTROL 3,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C4,CONTROL 4,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,FE def,Feed - DEF,arw93,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C1,CONTROL 1,arw93,,,,,,,,,,,,,1,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,FL def,Flat - DEF,arw93,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,A def,Acid - DEF,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,B def,Bitter - DEF,arw93,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,R def,Rancid - DEF,arw93,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C2,CONTROL 2,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C3,CONTROL 3,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C4,CONTROL 4,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,FE def,Feed - DEF,edf46,,,,,,3,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C1,CONTROL 1,edf46,,,,,,,,,,,,1,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,FL def,Flat - DEF,edf46,,,,,,,,1,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,A def,Acid - DEF,edf46,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,B def,Bitter - DEF,edf46,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,R def,Rancid - DEF,edf46,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C2,CONTROL 2,edf46,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C3,CONTROL 3,edf46,,,,,,,,2,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C4,CONTROL 4,edf46,,,,,,,,,,,,,1,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,FE def,Feed - DEF,ram524,,,,,,3,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C1,CONTROL 1,ram524,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,FL def,Flat - DEF,ram524,,,,,,,,,,,2,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,A def,Acid - DEF,ram524,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,B def,Bitter - DEF,ram524,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,R def,Rancid - DEF,ram524,,,,,,,,,,,,,,,2,,,,0,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C2,CONTROL 2,ram524,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C3,CONTROL 3,ram524,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C4,CONTROL 4,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,FE def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C1,CONTROL 1,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,FL def,Flat - DEF,kg292,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,A def,Acid - DEF,kg292,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,B def,Bitter - DEF,kg292,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,R def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C2,CONTROL 2,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C3,CONTROL 3,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C4,CONTROL 4,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,FE def,Feed - DEF,hmm79,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C1,CONTROL 1,hmm79,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,FL def,Flat - DEF,hmm79,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,A def,Acid - DEF,hmm79,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,B def,Bitter - DEF,hmm79,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,R def,Rancid - DEF,hmm79,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C2,CONTROL 2,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C3,CONTROL 3,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C4,CONTROL 4,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,FE def,Feed - DEF,sjr267,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C1,CONTROL 1,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,FL def,Flat - DEF,sjr267,,,,,,,2,,,,,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,A def,Acid - DEF,sjr267,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,B def,Bitter - DEF,sjr267,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,R def,Rancid - DEF,sjr267,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C2,CONTROL 2,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C3,CONTROL 3,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C4,CONTROL 4,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,FE def,Feed - DEF,aj425,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C1,CONTROL 1,aj425,,,,,,,,,,,,,,,,,,,9.6,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,FL def,Flat - DEF,aj425,,,,,,,3,,,,,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,A def,Acid - DEF,aj425,,,,,3,,,,,,,,,,,,,,6,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,B def,Bitter - DEF,aj425,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,R def,Rancid - DEF,aj425,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C2,CONTROL 2,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C3,CONTROL 3,aj425,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C4,CONTROL 4,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,FE def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C1,CONTROL 1,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,FL def,Flat - DEF,at543,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,A def,Acid - DEF,at543,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,B def,Bitter - DEF,at543,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,R def,Rancid - DEF,at543,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C2,CONTROL 2,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C3,CONTROL 3,at543,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C4,CONTROL 4,at543,,,1,,,,,,,,,,,,,,,,6,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,FE def,Feed - DEF,krs4,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C1,CONTROL 1,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,FL def,Flat - DEF,krs4,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,A def,Acid - DEF,krs4,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,B def,Bitter - DEF,krs4,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,R def,Rancid - DEF,krs4,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C2,CONTROL 2,krs4,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C3,CONTROL 3,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C4,CONTROL 4,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,FE def,Feed - DEF,cjh263,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,C1,CONTROL 1,cjh263,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,FL def,Flat - DEF,cjh263,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,A def,Acid - DEF,cjh263,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,B def,Bitter - DEF,cjh263,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,R def,Rancid - DEF,cjh263,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C2,CONTROL 2,cjh263,,,,,,,,,,,1,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C4,CONTROL 4,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,FE def,Feed - DEF,dk657,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,C1,CONTROL 1,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,FL def,Flat - DEF,dk657,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,A def,Acid - DEF,dk657,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,B def,Bitter - DEF,dk657,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,R def,Rancid - DEF,dk657,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C2,CONTROL 2,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C3,CONTROL 3,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C4,CONTROL 4,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,FE def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,C1,CONTROL 1,nrs13,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,FL def,Flat - DEF,nrs13,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,A def,Acid - DEF,nrs13,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,R def,Rancid - DEF,nrs13,1,,,,,,,,,,,,,,,,,,3,Not as strong acid as in 2%
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C2,CONTROL 2,nrs13,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C3,CONTROL 3,nrs13,,,,,,,,,,,,,,,,,,,9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C4,CONTROL 4,nrs13,,,,,,,,,,,,,,,,,,,9,all controls seemed slight LO
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,FE def,Feed - DEF,sw38,,,,,,1,,,,,,,,,,,,,7.9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,C1,CONTROL 1,sw38,,,,,,,,,,,,,,,,,,1,8.7,Maybe slightly astringent or bitter something...
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,FL def,Flat - DEF,sw38,,,,,,,2,,,,,,,,,,,,7.9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,A def,Acid - DEF,sw38,2,,,,,,,,,,,,,,,,,,6.9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,5.9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,R def,Rancid - DEF,sw38,,,,,,,,,,,,,,,2,,,,5.9,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C2,CONTROL 2,sw38,,,,,,,,,,,,,,,,,,1,8,Either slightly light oxidized or flat
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C3,CONTROL 3,sw38,,,,,1,,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,C4,CONTROL 4,sw38,,,,,,,,,,,,,,,,,,1,8.7,slight something but not sure what
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,3,FE def,Feed - DEF,kc663,1,,,,,,1,,2,,,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,1,C1,CONTROL 1,kc663,,,,,,,1,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,2,FL def,Flat - DEF,kc663,,,,,,,2,,,,,,,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,4,A def,Acid - DEF,kc663,2,,,,,2,1,,,2,,,,,,,,,5,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,6,B def,Bitter - DEF,kc663,,,,3,,,,,,,,,,,,,,,3,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,8,R def,Rancid - DEF,kc663,,,,,,,,,,,,,3,,,,,,7,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,9,C2,CONTROL 2,kc663,,,,,,,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,7,C3,CONTROL 3,kc663,,2,,,,,,,,,,,,,,,,,8,
Pre-Eval Skim PM 032715 & 041715 Spring 2015,SKIM WHITE MILK,5,C4,CONTROL 4,kc663,1,2,,1,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,SKIM WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
2,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
3,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
4,LO def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,CK def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
6,M def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,MC def,P615,Milk Carton - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,FF def,2011,Fruity Fermented - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
